name,x,y,z
1,7,12,2
2,2,3,4
3,1,13,4
4,6,8,3
5,3,12,5
6,6,1,7
7,8,11,3
8,12,13,5
9,4,1,1
10,4,11,7
11,3,13,6
12,4,13,3
13,14,5,5
14,7,7,5
15,9,7,4
16,4,7,1
17,6,11,4
18,16,2,1
19,13,1,3
20,8,9,5
21,6,13,7
22,13,3,3
23,6,11,5
24,12,13,7
25,15,5,6
26,5,8,7
27,3,11,7
28,12,11,6
29,9,9,7
30,13,5,1
31,8,7,1
32,2,3,2
33,1,2,7
34,16,10,4
35,8,7,2
36,10,15,3
37,15,1,1
38,7,6,7
39,15,9,4
40,3,8,5
41,4,8,5
42,16,10,5
43,9,13,7
44,12,4,7
45,13,5,4
46,3,13,4
47,16,12,6
48,2,10,4
49,4,3,2
50,6,1,6
51,16,14,7
52,2,15,5
53,15,13,7
54,1,12,1
55,9,14,5
56,5,8,4
57,12,5,1
58,14,3,3
59,16,7,5
60,16,6,1
61,7,4,3
62,8,2,3
63,4,5,6
