name,x,y,z
1,12,11,2
2,6,8,6
3,2,12,7
4,15,9,6
5,2,4,4
6,6,11,3
7,8,14,2
8,7,2,6
9,16,13,3
10,12,15,5
11,1,10,7
12,7,5,6
13,12,2,6
14,10,9,1
15,14,14,6
16,5,3,5
17,8,9,1
18,11,4,3
19,3,4,6
20,12,7,4
21,5,5,7
22,7,6,1
23,2,4,5
24,6,9,3
25,5,6,3
26,14,10,3
27,7,4,1
28,14,15,3
29,16,3,5
30,2,8,6
31,10,15,1
32,8,13,2
33,5,5,5
34,3,12,4
35,4,5,3
36,10,9,3
37,15,14,6
38,1,14,6
39,1,12,7
40,1,2,4
41,6,12,3
42,5,1,5
43,6,14,4
44,14,2,6
45,14,11,7
46,7,9,5
47,11,8,6
48,1,7,1
49,3,5,7
50,4,4,4
51,4,1,5
52,11,7,4
53,13,14,1
54,13,14,5
55,9,14,6
56,10,7,1
