name,x,y,z
1,6,13,4
2,12,5,6
3,5,3,1
4,13,9,3
5,12,9,7
6,7,4,5
7,7,13,4
8,13,5,1
9,10,5,1
10,9,1,4
11,11,1,3
12,14,14,1
13,6,2,5
14,9,12,3
15,3,15,4
16,12,7,1
17,4,3,4
18,15,8,2
19,11,1,5
20,13,8,5
21,14,11,6
22,7,3,7
23,10,6,5
24,7,9,1
25,1,9,6
26,7,14,2
27,16,9,4
28,3,8,1
29,3,1,3
30,13,13,1
31,8,5,1
32,1,7,7
33,12,15,1
34,14,13,5
35,2,10,6
36,14,7,1
37,13,9,2
38,12,8,6
39,5,11,1
40,3,3,2
41,16,7,3
42,8,7,1
43,7,3,1
44,14,2,5
45,4,3,7
46,14,12,4
47,7,4,1
48,5,5,6
49,16,1,4
50,16,10,3
51,10,10,1
52,11,10,5
53,10,12,2
54,15,8,1
55,6,14,2
