name,x,y,z
1,12,10,6
2,13,2,1
3,10,7,4
4,4,3,5
5,12,14,1
6,5,2,3
7,12,10,5
8,5,11,7
9,16,15,7
10,2,7,4
11,16,9,7
12,1,14,7
13,14,8,1
14,6,3,5
15,2,11,5
16,5,5,4
17,5,4,5
18,6,8,1
19,16,13,4
20,16,5,1
21,7,15,3
22,15,4,4
23,9,7,6
24,4,6,1
25,13,2,7
26,12,5,2
27,14,5,1
28,8,6,3
29,6,3,2
30,6,8,3
31,5,1,1
32,10,6,2
33,3,8,5
34,13,13,4
35,1,14,3
36,16,2,7
37,9,6,4
38,12,9,2
39,8,11,4
40,4,9,5
41,13,15,3
42,10,5,4
43,13,7,3
44,12,1,4
45,16,14,5
46,2,11,6
47,5,13,5
48,16,4,6
49,9,3,7
50,15,8,2
51,13,1,3
52,8,12,3
53,1,6,7
54,16,11,5
55,8,15,2
56,12,9,7
57,15,4,2
58,8,9,3
59,14,14,6
60,7,2,1
61,2,1,2
62,15,15,5
63,8,4,5
64,13,15,7
65,5,15,6
66,15,3,1
67,1,1,1
68,11,1,5
69,4,1,7
70,8,6,1
71,7,11,3
72,4,9,7
73,10,4,4
74,5,6,3
75,3,15,1
