name,x,y,z
1,2,10,4
2,2,15,5
3,1,13,7
4,12,7,7
5,11,1,6
6,5,4,2
7,7,5,1
8,10,4,4
9,15,10,3
10,5,1,5
11,14,13,2
12,12,1,5
13,2,9,4
14,10,12,4
15,1,3,2
16,9,3,6
17,16,13,4
18,2,12,1
19,3,9,5
20,9,10,3
21,7,13,7
22,16,14,1
23,13,1,1
24,8,5,5
25,16,4,7
26,16,13,7
27,14,2,6
28,3,9,2
29,4,7,1
30,15,1,2
31,3,4,3
32,2,7,7
33,12,10,2
34,7,8,7
35,4,3,1
36,10,15,4
37,13,9,7
38,12,2,2
39,11,12,6
40,5,6,1
41,9,2,1
42,14,15,5
43,10,13,2
44,7,14,3
45,7,12,1
46,13,11,4
47,13,13,7
48,16,15,3
49,11,6,7
50,9,13,3
