name,x,y,z
1,12,14,3
2,8,7,5
3,16,13,6
4,4,8,7
5,10,2,4
6,4,8,4
7,11,10,5
8,4,11,7
9,9,15,1
10,15,8,2
11,14,14,3
12,1,10,7
13,3,15,1
14,10,12,7
15,1,3,5
16,1,3,4
17,10,12,5
18,3,6,3
19,14,5,5
20,5,11,7
21,16,7,7
22,11,2,4
23,4,11,2
24,6,15,4
25,10,8,2
26,7,13,6
27,16,1,3
28,9,7,7
29,13,8,5
30,9,12,5
31,1,15,1
32,7,15,2
33,1,1,6
34,4,15,7
35,12,10,3
36,16,6,3
37,8,6,1
38,12,5,1
39,13,8,6
40,16,12,7
41,2,8,7
42,6,7,3
43,14,14,7
44,7,15,5
45,12,11,1
46,3,10,1
47,5,3,6
48,15,10,7
49,4,8,6
50,14,11,2
