name,x,y,z
1,5,12,7
2,14,1,1
3,15,1,4
4,8,12,7
5,15,5,3
6,9,12,6
7,1,13,1
8,12,2,1
9,16,15,2
10,14,13,3
11,15,6,5
12,1,13,3
13,2,10,3
14,7,7,2
15,11,9,1
16,5,13,4
17,14,12,5
18,1,3,4
19,3,10,7
20,9,2,5
21,4,3,6
22,16,9,4
23,7,13,1
24,15,10,7
25,1,3,3
26,13,7,7
27,10,13,3
28,5,14,4
29,16,1,6
30,9,4,5
31,15,7,5
32,12,11,6
33,14,13,2
34,14,2,3
35,15,7,4
36,8,8,7
37,6,10,2
38,9,14,3
39,12,12,5
40,15,8,1
41,10,7,4
42,11,4,1
43,13,5,1
44,16,3,4
45,3,11,4
46,5,4,1
47,13,1,4
48,4,7,5
49,10,4,3
50,16,4,7
51,14,6,1
52,4,2,2
53,11,5,7
54,8,7,5
55,14,5,1
56,2,4,5
57,13,9,4
58,1,6,7
59,1,7,3
60,7,13,6
61,11,1,5
