name,x,y,z
1,7,7,1
2,9,3,4
3,14,11,3
4,5,10,5
5,5,6,1
6,4,8,6
7,16,4,5
8,7,5,5
9,8,9,4
10,4,6,6
11,2,6,6
12,16,12,4
13,14,14,1
14,15,4,1
15,10,10,7
16,16,4,3
17,8,4,2
18,5,9,1
19,16,12,6
20,7,13,5
21,10,5,5
22,7,10,2
23,8,14,5
24,16,9,4
25,6,9,6
26,4,3,1
27,1,6,1
28,2,11,2
29,13,10,2
30,6,12,7
31,16,5,2
32,9,1,7
33,14,2,4
34,2,10,7
35,7,2,7
36,3,14,7
37,6,1,6
38,5,15,5
39,7,14,3
40,5,4,5
41,10,4,2
42,2,1,4
43,3,6,5
44,13,2,7
45,8,13,6
46,9,1,5
47,10,9,7
48,6,14,3
49,10,12,2
50,5,2,7
51,12,9,1
52,14,5,2
53,14,2,7
54,16,4,1
55,3,12,7
56,16,8,2
57,2,4,3
58,15,2,6
59,2,10,4
60,8,9,5
61,13,12,3
62,16,9,3
63,10,2,6
64,9,6,3
65,16,15,3
66,4,10,4
67,6,15,1
68,13,15,6
69,14,12,2
70,11,6,1
71,8,7,4
72,1,4,4
73,15,6,3
74,10,1,3
75,4,14,5
76,2,1,1
77,12,11,4
78,9,7,3
79,13,10,3
80,5,7,1
81,2,3,3
82,1,12,4
83,6,15,7
84,7,8,6
85,1,8,4
86,3,2,6
87,4,3,4
88,14,9,6
89,12,14,4
90,16,5,7
91,2,9,5
92,4,1,6
93,11,5,2
94,8,11,7
95,7,11,5
96,16,14,3
97,15,7,2
98,16,3,7
