name,x,y,z
1,8,4,7
2,8,10,3
3,7,3,7
4,4,9,6
5,3,13,5
6,15,1,4
7,10,11,2
8,2,11,7
9,13,7,4
10,2,9,3
11,3,5,7
12,1,8,6
13,11,9,7
14,14,2,2
15,16,10,4
16,3,7,3
17,1,10,4
18,11,11,3
19,11,14,5
20,13,5,7
21,10,12,2
22,15,7,2
23,11,7,1
24,3,4,7
25,10,8,4
26,8,9,2
27,6,12,4
28,6,2,7
29,9,2,6
30,3,5,3
31,8,4,1
32,10,15,2
33,5,7,7
34,15,12,1
35,14,6,5
36,3,12,7
37,10,13,6
38,4,11,4
39,7,9,2
40,11,6,5
41,13,3,6
42,4,3,3
43,12,10,2
44,8,10,4
45,7,12,3
46,2,15,2
47,8,6,6
48,8,1,5
49,7,12,5
50,2,14,5
51,5,1,2
52,3,3,4
53,15,1,6
54,13,14,1
55,2,7,3
56,2,5,4
57,13,5,3
58,7,5,1
59,2,11,5
60,10,6,4
61,2,8,5
62,15,4,1
63,12,13,7
64,6,11,1
65,6,8,5
66,11,7,5
67,1,10,2
68,7,3,3
69,3,2,2
70,11,7,2
71,16,9,6
72,6,1,4
73,6,1,5
74,14,15,7
75,8,9,3
76,1,2,2
77,6,10,7
78,14,4,6
79,14,9,4
80,3,15,4
81,14,4,3
82,10,14,4
83,12,5,3
