name,x,y,z
1,7,12,1
2,5,5,3
3,16,6,2
4,15,14,3
5,2,6,1
6,3,3,1
7,6,14,3
8,12,11,4
9,8,2,7
10,12,9,7
11,3,14,3
12,14,12,2
13,8,8,6
14,9,10,6
15,14,4,6
16,7,1,1
17,6,2,6
18,14,14,5
19,14,6,2
20,6,13,7
21,6,15,2
22,16,7,6
23,2,5,5
24,11,13,2
25,7,10,5
26,10,12,5
27,15,3,6
28,4,4,6
29,16,3,5
30,5,1,3
31,12,14,2
32,12,7,4
33,9,13,5
34,1,9,5
35,16,9,2
36,2,2,3
37,5,12,4
38,1,12,4
39,2,12,5
40,7,1,4
41,3,12,4
42,16,5,1
43,7,15,2
44,6,6,3
45,9,9,2
46,4,6,7
47,14,7,4
48,1,12,6
49,2,8,7
50,13,8,7
51,15,10,2
52,4,6,4
53,4,14,4
54,10,13,5
55,15,10,3
56,15,5,2
57,6,1,5
58,10,11,7
59,7,3,3
60,13,7,4
61,16,4,5
62,8,3,1
63,4,7,5
64,8,8,2
65,1,5,1
66,5,2,2
67,15,13,4
68,12,5,4
69,12,15,1
70,1,1,3
71,1,12,5
72,15,15,2
73,7,5,5
74,9,2,5
