name,x,y,z
1,12,15,7
2,7,8,6
3,1,3,1
4,5,2,5
5,10,4,4
6,7,11,6
7,2,10,4
8,9,3,1
9,16,3,6
10,14,13,2
11,8,4,5
12,12,9,6
13,9,11,1
14,8,12,7
15,9,9,5
16,13,1,4
17,1,13,5
18,11,7,4
19,6,10,2
20,5,8,3
21,13,10,1
22,9,11,6
23,9,2,2
24,10,14,1
25,5,8,1
26,14,4,5
27,1,10,3
28,7,7,4
29,10,9,5
30,13,9,2
31,15,6,5
32,5,1,5
33,8,1,4
34,8,12,2
35,8,15,3
36,9,14,3
37,7,6,4
38,12,4,1
39,11,13,7
40,7,3,5
41,16,8,2
42,16,2,6
43,2,7,5
44,6,15,7
45,16,14,7
46,3,7,5
47,12,1,1
48,15,9,3
49,5,7,5
50,16,8,7
51,6,3,3
52,11,2,1
53,15,5,3
54,12,2,3
55,5,10,6
56,4,1,5
57,6,15,1
58,8,12,4
59,10,13,3
60,4,6,6
61,7,3,7
62,4,15,3
63,1,14,7
64,9,2,5
65,2,5,1
66,2,2,6
67,5,15,5
68,7,2,1
69,12,13,5
70,16,6,5
71,16,13,2
72,15,5,7
73,9,5,3
74,16,13,6
75,5,7,6
76,12,14,3
