name,x,y,z
1,8,12,2
2,3,7,5
3,3,5,7
4,2,5,4
5,15,3,6
6,15,15,4
7,11,4,7
8,12,3,1
9,5,15,5
10,4,14,7
11,6,10,6
12,8,3,6
13,6,5,2
14,12,5,4
15,13,11,2
16,2,14,5
17,16,11,1
18,5,3,7
19,13,12,4
20,1,12,3
21,14,6,2
22,16,13,2
23,10,10,1
24,3,7,4
25,12,6,2
26,7,2,7
27,4,9,4
28,5,8,2
29,7,14,4
30,10,7,1
31,16,9,3
32,9,9,2
33,3,3,7
34,7,11,4
35,4,4,4
36,6,3,4
37,3,7,7
38,9,7,7
39,14,4,6
40,16,15,4
41,13,6,4
42,1,9,7
43,5,6,6
44,7,9,4
45,2,13,3
46,12,8,3
47,4,11,1
48,7,3,4
49,2,14,2
50,11,8,3
51,10,14,1
52,11,4,3
53,4,13,2
54,1,2,3
55,11,5,5
56,10,10,5
57,3,9,7
58,15,12,6
59,15,4,3
60,9,3,3
61,12,9,3
62,12,6,7
63,4,8,7
64,3,15,4
65,11,13,1
66,5,9,3
67,15,8,6
68,3,13,3
69,5,5,1
70,6,2,7
71,13,6,6
72,14,11,3
73,10,11,7
74,15,3,5
75,1,15,4
76,9,7,4
77,16,6,2
78,16,9,6
79,12,15,7
80,6,10,4
81,15,9,7
82,10,2,4
83,14,12,1
84,10,13,2
85,4,12,2
86,1,11,2
87,15,13,4
88,10,4,5
89,11,13,7
90,9,7,3
91,16,11,5
