name,x,y,z
1,1,15,3
2,16,15,5
3,1,6,2
4,14,8,7
5,9,2,2
6,9,1,5
7,13,5,5
8,15,5,5
9,3,13,6
10,16,10,4
11,10,13,6
12,9,7,3
13,11,11,5
14,1,8,1
15,9,12,7
16,12,4,1
17,1,7,6
18,6,2,3
19,10,7,6
20,5,15,7
21,15,15,3
22,2,12,7
23,4,9,5
24,7,14,3
25,7,14,2
26,13,8,2
27,13,14,6
28,15,1,7
29,16,12,1
30,1,11,7
31,12,5,3
32,14,4,1
33,6,7,5
34,4,1,7
35,10,1,5
36,6,3,1
37,5,11,3
38,9,10,7
39,9,8,7
40,8,7,5
41,2,1,7
42,7,3,2
43,9,9,3
44,14,12,3
45,8,14,7
46,4,3,5
47,3,8,4
48,16,6,7
49,16,5,7
50,5,4,7
51,16,3,6
52,16,11,2
53,12,14,2
54,2,15,4
55,2,10,4
56,5,7,6
57,1,13,1
58,15,5,2
59,7,4,1
60,4,3,2
61,11,9,2
62,11,15,1
63,16,14,7
64,2,5,1
65,3,7,2
66,6,15,6
67,3,5,5
68,3,10,6
69,12,9,4
70,10,3,4
71,2,2,3
72,7,5,4
73,2,14,5
74,13,1,1
75,13,14,1
76,1,12,4
77,9,13,5
78,16,13,6
79,15,9,6
80,10,13,3
81,7,7,4
82,5,8,2
83,9,11,1
84,1,12,1
85,12,9,3
86,16,7,2
87,12,8,3
88,5,10,3
