name,x,y,z
1,14,5,1
2,6,1,7
3,14,8,3
4,3,5,1
5,8,8,4
6,16,8,7
7,11,8,1
8,1,11,1
9,5,2,1
10,11,5,2
11,10,13,7
12,6,9,5
13,2,2,1
14,12,7,3
15,15,5,7
16,10,10,4
17,2,2,2
18,16,4,2
19,8,5,1
20,9,2,2
21,10,15,2
22,9,15,5
23,16,15,1
24,11,13,7
25,8,1,4
26,8,15,6
27,11,12,6
28,9,2,6
29,3,3,6
30,7,14,2
31,12,15,2
32,16,5,5
33,4,4,1
34,7,7,2
35,10,15,3
36,4,6,5
37,11,11,6
38,14,2,7
39,7,5,5
40,13,1,6
41,3,8,5
42,11,5,5
43,4,15,7
44,3,2,2
45,13,2,3
46,10,7,1
47,9,6,4
48,5,12,1
49,15,7,4
50,9,14,2
51,11,4,4
52,7,1,4
53,9,10,7
54,6,2,1
55,8,13,6
56,2,8,7
57,14,13,1
58,6,5,2
59,1,1,7
60,7,7,3
61,12,14,2
62,4,8,7
63,3,9,5
64,9,4,3
65,15,5,1
66,5,12,2
67,14,12,3
68,15,4,3
69,12,4,2
70,3,13,4
71,12,2,5
72,9,7,4
73,13,7,1
74,11,2,3
75,16,13,6
76,10,11,6
77,11,2,2
78,11,15,2
79,11,8,4
80,7,12,2
81,12,8,4
82,3,1,4
83,11,12,4
84,16,5,6
85,15,2,5
86,14,2,4
87,15,2,3
88,10,1,7
89,2,4,3
90,15,1,2
91,10,2,7
92,4,7,5
93,2,15,7
94,15,9,7
95,8,7,7
96,14,7,2
97,6,7,7
