name,x,y,z
1,15,10,6
2,4,13,2
3,3,6,7
4,16,11,4
5,13,6,6
6,12,12,7
7,14,5,7
8,8,3,3
9,15,3,3
10,16,6,1
11,2,11,5
12,16,3,7
13,13,15,6
14,12,5,6
15,3,2,3
16,13,2,3
17,7,13,2
18,8,1,7
19,5,8,6
20,1,15,2
21,5,8,5
22,9,15,7
23,3,1,2
24,10,3,4
25,16,2,6
26,7,11,4
27,9,6,3
28,12,15,2
29,7,6,1
30,10,9,2
31,13,1,2
32,7,6,4
33,5,5,2
34,13,11,3
35,16,14,6
36,12,15,3
37,10,1,1
38,8,2,7
39,8,1,6
40,6,13,6
41,9,3,1
42,13,13,1
43,6,1,2
44,3,11,2
45,6,7,2
46,14,13,6
47,5,4,3
48,3,15,6
49,6,13,3
50,9,3,3
51,12,15,6
52,12,2,6
53,11,12,1
54,7,15,7
55,13,10,2
56,14,7,1
57,5,11,2
58,7,4,1
59,10,15,2
60,13,13,6
61,3,10,5
62,8,4,5
63,11,6,7
64,14,12,7
65,14,12,1
66,3,5,3
67,12,7,7
68,2,4,7
69,6,14,6
70,15,9,2
71,4,1,3
72,12,1,7
73,5,14,5
74,4,3,4
75,10,6,7
76,1,5,7
77,11,9,2
78,10,6,5
79,3,14,5
80,6,11,3
81,8,11,5
82,16,12,6
83,6,12,4
84,3,11,4
85,5,1,6
86,7,12,1
87,16,2,7
88,12,9,7
89,2,6,7
90,16,4,3
91,9,5,5
92,3,15,2
93,10,15,4
94,3,8,2
95,12,13,5
96,9,4,7
97,2,12,5
