name,x,y,z
1,7,11,2
2,16,6,2
3,5,1,6
4,7,9,7
5,14,2,3
6,6,13,1
7,4,3,2
8,13,6,5
9,11,13,1
10,11,3,5
11,3,6,5
12,15,1,3
13,7,15,1
14,9,7,6
15,3,7,7
16,16,4,4
17,13,15,6
18,10,15,6
19,16,3,1
20,7,14,2
21,1,11,5
22,8,9,3
23,2,7,3
24,12,2,2
25,8,15,3
26,2,5,4
27,10,14,7
28,16,2,6
29,12,2,5
30,16,7,3
31,9,13,2
32,13,1,6
33,12,1,3
34,14,9,2
35,12,1,1
36,3,6,3
37,5,8,6
38,15,13,2
39,14,6,4
40,6,12,5
41,9,10,6
42,2,8,5
43,11,12,1
44,16,2,1
45,8,2,4
46,14,2,7
47,11,3,6
48,9,5,3
49,7,7,2
50,16,11,5
51,8,4,1
52,15,14,2
53,9,5,1
54,12,4,4
55,14,4,2
56,8,14,4
57,5,12,2
58,8,11,4
59,5,6,5
60,5,6,6
61,14,11,7
62,16,15,1
63,7,4,4
64,8,3,3
65,16,14,4
66,4,15,4
67,13,9,1
68,3,8,1
69,9,10,2
70,11,2,2
71,9,6,2
72,6,15,7
73,5,8,5
74,12,11,6
75,11,6,6
76,7,9,5
77,13,11,2
78,12,8,4
79,11,1,4
80,12,10,5
81,1,9,7
82,8,2,1
83,13,7,7
84,4,8,1
85,7,1,5
