name,x,y,z
1,1,11,5
2,6,12,2
3,16,14,3
4,16,10,1
5,15,5,3
6,14,15,2
7,3,12,5
8,10,6,5
9,3,6,3
10,5,15,5
11,12,15,7
12,13,15,2
13,13,12,3
14,7,8,3
15,1,5,5
16,14,2,2
17,15,9,7
18,15,12,1
19,14,7,6
20,15,10,7
21,12,6,2
22,4,7,1
23,15,14,2
24,8,11,4
25,8,9,5
26,11,12,7
27,5,7,2
28,16,9,6
29,16,2,7
30,13,1,7
31,5,10,3
32,2,4,7
33,11,10,1
34,14,10,2
35,14,8,5
36,14,1,7
37,16,11,6
38,9,5,1
39,1,5,1
40,2,3,3
41,5,1,6
42,3,9,4
43,3,12,4
44,7,11,4
45,6,11,4
46,6,9,2
47,10,6,1
48,10,5,3
49,4,7,3
50,9,9,2
51,3,13,1
52,11,1,5
53,15,2,6
54,3,14,3
55,6,12,7
56,15,10,5
57,4,5,7
58,10,14,5
59,16,1,1
60,3,12,1
61,11,6,6
62,6,2,5
63,8,15,4
64,16,13,2
65,9,15,3
66,1,6,7
67,14,14,1
68,2,9,5
69,1,4,6
70,15,1,1
71,16,8,2
72,8,2,7
73,3,1,4
74,1,7,5
75,10,12,7
76,15,13,6
77,12,8,6
78,5,15,4
79,9,13,3
80,11,4,7
81,13,9,2
82,2,15,5
83,2,8,4
84,1,3,2
85,12,11,2
86,8,11,3
87,10,4,5
88,13,3,3
89,7,12,1
90,4,10,5
91,9,6,3
