name,x,y,z
1,6,6,5
2,3,6,1
3,1,10,2
4,13,11,2
5,1,8,3
6,16,6,7
7,10,9,3
8,10,2,3
9,3,2,5
10,10,15,2
11,12,11,2
12,11,6,6
13,15,15,5
14,15,7,2
15,15,12,7
16,15,1,1
17,4,1,6
18,9,8,4
19,4,13,1
20,6,12,1
21,10,8,2
22,6,14,3
23,11,10,6
24,5,14,6
25,3,4,3
26,5,10,1
27,2,10,3
28,3,8,3
29,5,5,1
30,16,4,6
31,2,7,2
32,12,14,1
33,16,14,3
34,1,9,3
35,2,10,4
36,11,14,3
37,14,15,2
38,7,11,7
39,2,7,4
40,10,1,5
41,12,9,2
42,15,7,6
43,3,10,6
44,7,12,2
45,16,12,5
46,5,5,3
47,11,13,4
48,9,2,4
49,7,4,2
50,11,11,6
51,5,6,2
52,8,11,3
53,13,5,5
54,7,4,4
55,13,1,7
56,1,15,2
57,6,15,1
58,12,7,7
