name,x,y,z
1,7,3,2
2,3,7,1
3,10,5,3
4,10,4,2
5,13,1,2
6,11,15,7
7,11,3,7
8,9,4,5
9,8,10,2
10,5,3,4
11,8,2,7
12,15,12,4
13,3,3,7
14,12,7,3
15,5,4,3
16,16,2,2
17,12,9,7
18,3,14,7
19,13,10,2
20,6,14,1
21,7,10,2
22,7,9,5
23,12,3,7
24,11,14,1
25,16,15,1
26,15,11,7
27,11,4,7
28,4,13,5
29,14,7,1
30,10,9,3
31,15,13,3
32,14,6,6
33,3,4,4
34,16,1,4
35,1,13,3
36,4,3,5
37,4,10,7
38,16,12,5
39,3,5,6
40,2,7,2
41,3,11,2
42,15,4,3
43,4,9,4
44,2,8,2
45,13,4,4
46,11,14,7
47,6,3,2
48,2,14,2
49,2,14,3
50,3,2,2
51,15,1,4
52,14,3,6
53,1,2,2
54,13,15,1
55,11,8,1
56,1,3,5
57,5,14,5
58,3,15,7
59,3,12,3
60,7,7,4
61,3,12,4
62,10,4,6
63,14,4,2
64,10,10,2
65,5,4,1
66,1,10,5
67,6,8,3
