name,x,y,z
1,12,13,3
2,8,3,4
3,13,4,7
4,1,8,2
5,11,7,7
6,7,10,2
7,4,9,3
8,5,1,4
9,7,14,3
10,14,9,3
11,13,1,1
12,7,14,7
13,15,6,4
14,3,12,7
15,8,15,4
16,12,1,2
17,3,7,3
18,3,10,6
19,14,6,4
20,12,11,6
21,13,15,2
22,13,12,5
23,12,4,7
24,10,13,4
25,2,10,2
26,1,7,6
27,14,15,5
28,13,3,6
29,3,8,7
30,6,14,4
31,1,6,6
32,9,12,7
33,15,4,4
34,6,10,6
35,10,2,3
36,10,13,2
37,9,13,3
38,16,4,5
39,10,4,1
40,14,9,4
41,12,12,1
42,9,11,5
43,2,10,3
44,2,6,2
45,7,13,1
46,3,1,7
47,2,13,1
48,2,4,1
49,11,10,7
50,3,5,5
51,10,2,4
52,14,12,6
53,14,10,6
54,13,3,5
55,11,11,6
56,3,15,4
57,13,8,6
58,14,7,3
