name,x,y,z
1,13,7,3
2,14,4,6
3,4,6,7
4,3,3,6
5,8,10,4
6,13,4,7
7,14,9,6
8,11,1,5
9,1,7,7
10,15,15,4
11,11,13,5
12,2,14,6
13,1,10,2
14,9,12,2
15,4,12,2
16,10,12,5
17,1,3,1
18,16,2,3
19,16,3,1
20,12,12,4
21,4,3,1
22,9,7,4
23,4,1,4
24,14,15,4
25,9,13,1
26,5,13,3
27,3,13,5
28,11,15,5
29,7,11,3
30,1,9,5
31,9,7,2
32,10,10,6
33,15,6,1
34,13,15,7
35,5,15,6
36,15,7,1
37,16,10,5
38,15,12,3
39,12,4,6
40,15,2,1
41,8,10,1
42,10,12,7
43,8,8,7
44,8,11,3
45,8,9,4
46,5,2,3
47,5,7,7
48,10,3,2
49,4,6,1
50,7,14,7
51,2,8,6
52,12,1,2
53,12,12,2
