name,x,y,z
1,11,13,6
2,2,7,3
3,10,3,5
4,11,8,6
5,6,14,6
6,14,4,4
7,4,4,1
8,10,4,3
9,10,10,3
10,15,12,7
11,4,9,2
12,7,1,3
13,12,13,7
14,8,9,3
15,10,12,5
16,11,12,2
17,11,5,6
18,13,10,7
19,15,7,5
20,8,8,3
21,11,12,4
22,7,8,7
23,8,10,6
24,7,3,1
25,5,5,5
26,7,2,4
27,2,15,1
28,3,14,5
29,3,3,4
30,1,15,7
31,12,3,7
32,11,12,3
33,16,7,1
34,2,8,5
35,5,4,3
36,6,8,3
37,11,11,4
38,5,13,5
39,9,13,4
40,7,7,4
41,2,1,5
42,1,14,4
43,7,12,5
44,7,5,5
45,11,15,4
46,13,14,1
47,8,8,2
48,16,11,3
49,9,8,4
50,12,15,5
51,3,14,7
52,11,3,3
53,14,14,1
