name,x,y,z
1,10,13,1
2,3,1,1
3,1,8,7
4,5,4,5
5,4,13,6
6,13,11,1
7,7,8,4
8,14,1,7
9,4,11,3
10,9,9,1
11,4,12,2
12,4,11,1
13,7,5,6
14,5,7,1
15,16,10,2
16,4,1,4
17,6,7,2
18,3,15,3
19,2,2,1
20,14,8,1
21,12,11,7
22,3,8,2
23,12,13,4
24,15,2,3
25,7,8,3
26,9,11,1
27,14,5,5
28,14,3,1
29,12,15,3
30,7,14,4
31,4,15,4
32,10,9,2
33,14,6,5
34,5,15,7
35,10,9,6
36,1,9,7
37,12,10,2
38,16,10,7
39,13,1,2
40,8,7,6
41,15,8,4
42,16,7,7
43,14,2,2
44,1,15,3
45,13,11,4
46,3,15,2
47,3,12,1
48,5,7,4
49,2,3,3
50,13,1,4
51,14,3,4
52,10,9,5
53,12,6,6
54,8,6,6
55,11,3,4
56,10,5,2
57,2,11,4
58,4,3,4
59,5,2,6
60,12,2,1
61,11,5,6
62,16,12,5
63,7,5,2
64,13,7,7
65,5,13,5
66,3,8,6
