name,x,y,z
1,7,9,1
2,8,1,3
3,15,4,5
4,13,9,6
5,15,15,6
6,9,8,4
7,6,14,6
8,16,6,3
9,16,12,3
10,8,11,4
11,10,15,1
12,4,14,1
13,14,4,6
14,4,1,7
15,3,3,4
16,10,11,3
17,5,4,3
18,2,9,1
19,7,15,4
20,6,6,7
21,9,14,3
22,5,4,4
23,8,2,3
24,10,14,4
25,2,14,2
26,5,3,3
27,6,12,1
28,1,2,3
29,3,12,2
30,2,4,5
31,13,12,4
32,7,9,4
33,1,13,1
34,3,8,6
35,7,4,1
36,13,1,6
37,2,12,2
38,4,14,6
39,1,13,4
40,3,7,1
41,6,3,6
42,2,10,6
43,1,12,7
44,2,10,5
45,3,13,5
46,4,5,4
47,9,9,7
48,11,8,3
49,1,6,5
50,5,6,7
51,14,11,3
52,10,8,5
53,13,14,5
54,3,6,4
55,15,9,3
56,14,5,5
57,7,1,3
58,5,15,4
59,12,12,5
60,1,13,2
61,5,5,1
62,3,14,2
63,3,2,6
64,8,4,3
65,12,13,1
66,11,3,5
67,4,12,3
68,7,1,7
69,3,5,7
70,8,4,5
71,14,3,6
72,7,4,3
73,11,9,7
74,3,8,3
75,8,7,2
76,7,12,7
77,14,6,7
78,1,6,4
79,8,15,5
80,9,8,6
81,12,15,2
82,8,15,6
83,1,10,3
84,10,4,3
85,13,10,7
86,14,12,7
87,10,10,5
88,5,4,1
89,7,13,4
90,15,11,7
91,9,12,5
92,8,14,2
93,16,6,1
94,13,2,6
95,3,7,3
96,16,3,1
