name,x,y,z
1,5,9,3
2,8,9,5
3,1,11,7
4,13,2,2
5,6,14,2
6,2,4,6
7,1,1,1
8,8,6,6
9,3,12,3
10,7,9,2
11,3,9,6
12,11,10,2
13,15,9,1
14,8,2,7
15,1,13,4
16,13,13,4
17,6,2,6
18,7,6,1
19,13,9,5
20,5,3,3
21,4,13,6
22,3,14,1
23,15,2,2
24,2,9,1
25,11,2,5
26,1,10,5
27,3,10,3
28,6,4,7
29,15,8,1
30,13,14,4
31,7,4,7
32,15,7,4
33,3,8,4
34,13,1,3
35,11,13,6
36,16,9,5
37,12,8,7
38,15,3,7
39,14,1,1
40,13,15,7
41,13,1,2
42,2,15,3
43,5,7,4
44,13,13,5
45,2,5,3
46,16,8,1
47,12,8,1
48,12,7,1
49,11,13,2
50,15,11,2
51,2,7,3
52,12,12,7
53,11,14,3
54,8,15,1
55,2,7,4
56,4,5,4
57,6,8,1
58,1,2,4
59,3,5,5
60,9,2,7
61,13,5,2
62,8,13,5
63,13,3,4
64,12,3,4
65,10,2,7
66,8,8,2
67,12,5,4
68,4,8,2
