name,x,y,z
1,3,12,1
2,8,10,5
3,11,10,3
4,1,5,3
5,15,8,3
6,16,5,7
7,11,5,5
8,12,13,4
9,7,5,5
10,10,5,1
11,1,14,2
12,15,14,2
13,5,15,5
14,3,11,3
15,6,11,2
16,10,11,2
17,9,7,1
18,15,14,7
19,8,5,3
20,15,9,1
21,14,14,3
22,8,15,5
23,12,11,7
24,13,4,7
25,2,12,5
26,16,9,2
27,16,1,7
28,1,10,1
29,10,14,1
30,1,9,1
31,4,6,6
32,1,15,6
33,15,10,5
34,15,4,6
35,6,14,5
36,16,1,3
37,5,10,4
38,6,11,3
39,8,5,5
40,14,5,1
41,2,5,6
42,6,15,2
43,1,3,4
44,6,2,4
45,2,6,4
46,11,2,7
47,11,2,4
48,10,14,3
49,15,12,5
50,7,13,2
51,12,7,2
52,13,14,6
53,4,10,2
54,8,4,1
55,15,14,1
56,11,13,6
57,9,15,3
58,11,4,5
59,6,5,5
60,15,4,7
61,5,1,7
62,13,12,1
63,4,13,4
64,12,6,5
65,13,8,1
66,9,8,6
67,5,5,1
68,15,14,6
69,12,8,6
