name,x,y,z
1,2,9,5
2,10,4,2
3,8,5,6
4,4,6,2
5,10,6,3
6,5,5,4
7,3,12,6
8,13,2,7
9,9,15,2
10,6,10,6
11,13,10,5
12,14,2,3
13,12,1,1
14,11,11,6
15,2,8,2
16,13,7,4
17,11,10,3
18,14,5,4
19,7,13,2
20,9,2,6
21,7,12,1
22,1,15,5
23,5,6,7
24,6,6,5
25,1,5,7
26,1,12,7
27,2,8,5
28,6,1,2
29,10,13,7
30,12,15,5
31,15,9,4
32,14,10,4
33,3,9,3
34,2,5,5
35,12,2,4
36,4,10,5
37,10,1,7
38,16,12,7
39,2,13,2
40,10,1,5
41,2,11,6
42,2,4,2
43,7,13,3
44,8,9,1
45,16,11,2
46,3,8,1
47,16,5,5
48,14,13,3
49,3,10,6
50,10,15,7
51,6,5,2
52,7,2,7
53,6,6,2
54,8,8,4
