name,x,y,z
1,4,1,4
2,13,10,3
3,15,11,7
4,2,10,5
5,5,6,5
6,3,8,2
7,1,5,6
8,1,9,6
9,16,8,3
10,3,6,7
11,4,12,5
12,13,13,2
13,8,12,2
14,12,6,7
15,15,5,3
16,9,14,2
17,8,7,4
18,12,5,3
19,2,1,6
20,15,12,7
21,5,2,1
22,13,4,4
23,16,6,1
24,2,6,2
25,6,4,5
26,3,8,5
27,5,9,1
28,3,3,2
29,13,2,4
30,3,6,5
31,5,3,2
32,3,13,4
33,1,15,3
34,5,4,7
35,11,11,7
36,7,4,3
37,13,1,6
38,9,6,2
39,3,8,7
40,2,6,7
41,15,8,6
42,6,5,1
43,13,5,4
44,13,9,1
45,12,7,3
46,11,5,7
47,12,8,3
48,16,1,7
49,4,3,2
50,14,5,4
51,14,5,3
52,5,8,5
53,4,10,5
54,16,11,2
55,4,12,2
56,12,9,6
57,2,15,6
58,5,9,3
59,4,2,7
60,3,6,3
61,15,13,2
62,11,2,7
63,8,14,1
64,7,6,6
65,16,6,3
66,8,14,3
67,11,3,5
68,6,10,5
69,7,15,4
70,5,12,3
71,3,9,3
72,11,11,3
73,8,8,6
74,5,7,2
75,8,14,6
76,9,7,1
77,14,2,1
78,7,10,2
79,2,13,4
80,4,6,2
81,15,9,3
82,5,15,3
83,16,15,7
84,15,9,1
85,16,12,3
86,4,4,2
87,13,12,4
88,8,6,2
89,13,9,6
90,3,1,6
