name,x,y,z
1,3,8,2
2,9,4,4
3,11,6,3
4,8,15,3
5,13,2,3
6,4,2,4
7,13,9,2
8,1,5,4
9,11,13,3
10,10,5,2
11,4,4,4
12,13,7,7
13,8,2,7
14,11,9,7
15,12,10,4
16,3,5,4
17,16,14,3
18,16,9,4
19,4,3,7
20,14,13,1
21,7,7,3
22,9,6,2
23,14,8,7
24,4,9,5
25,9,12,4
26,9,2,3
27,7,8,4
28,10,8,6
29,14,14,4
30,2,6,1
31,15,11,6
32,8,5,6
33,9,4,5
34,4,4,5
35,12,1,6
36,2,7,7
37,15,5,3
38,16,12,4
39,11,11,4
40,13,5,5
41,14,15,3
42,4,2,2
43,2,13,2
44,13,8,6
45,16,2,6
46,9,11,2
47,4,13,4
48,8,10,6
49,4,7,6
50,7,5,3
51,6,10,7
52,9,13,3
53,9,14,1
54,3,9,2
55,3,5,6
56,8,4,1
57,4,7,4
58,11,5,3
59,12,13,6
60,10,13,5
61,12,6,4
62,1,13,6
63,14,8,2
64,3,9,1
65,11,14,5
66,5,7,7
67,14,6,4
68,3,14,5
69,11,3,2
70,16,13,4
71,15,7,2
72,11,5,1
73,4,11,7
74,2,7,6
75,10,14,5
76,10,2,2
77,10,14,4
78,16,4,2
