name,x,y,z
1,1,12,3
2,12,4,2
3,14,2,7
4,14,5,6
5,3,9,6
6,3,5,4
7,16,2,7
8,2,11,2
9,7,13,1
10,6,14,6
11,1,10,3
12,2,9,4
13,13,11,6
14,12,5,5
15,15,8,7
16,2,2,6
17,15,13,3
18,8,6,4
19,3,4,6
20,4,3,6
21,8,10,3
22,11,11,5
23,11,6,3
24,11,13,4
25,1,1,4
26,7,1,4
27,3,11,4
28,12,12,3
29,6,10,6
30,8,12,2
31,12,14,5
32,16,14,6
33,13,7,7
34,11,8,6
35,10,7,4
36,3,9,2
37,7,12,1
38,6,9,2
39,12,13,7
40,14,13,6
41,5,15,2
42,13,4,4
43,14,9,5
44,14,9,4
45,12,8,2
46,2,13,2
47,12,6,4
48,10,7,3
49,11,8,1
50,1,3,5
51,9,2,2
52,3,8,1
53,5,12,3
54,11,15,6
55,6,11,4
56,15,4,5
57,9,13,5
58,1,8,7
59,7,1,7
60,5,14,2
61,2,15,2
62,12,10,2
63,4,1,2
64,7,8,4
65,14,13,3
66,4,14,6
67,4,10,4
68,6,8,5
69,10,8,2
